date,UK deaths,It deaths
22/02/2020,0,2
23/02/2020,0,2
24/02/2020,0,6
25/02/2020,0,11
26/02/2020,0,12
27/02/2020,0,17
28/02/2020,0,21
29/02/2020,0,29
01/03/2020,0,35
02/03/2020,0,52
03/03/2020,0,80
04/03/2020,0,107
05/03/2020,1,148
06/03/2020,1,197
07/03/2020,2,233
08/03/2020,3,366
09/03/2020,5,464
10/03/2020,6,631
11/03/2020,6,827
12/03/2020,10,1016
13/03/2020,10,1268
14/03/2020,21,1441
15/03/2020,35,1811
16/03/2020,55,2158
17/03/2020,60,2505
18/03/2020,103,2978
19/03/2020,144,3407
20/03/2020,177,4032
21/03/2020,233,4827
22/03/2020,281,5476
23/03/2020,335,6077
24/03/2020,422,6820
25/03/2020,463,7503
26/03/2020,578,8215
27/03/2020,759,9134
28/03/2020,1019,10023